ticker,rule,buy_hold_total_return,strategy_total_return,strategy_net_total_return,buy_hold_cagr,strategy_cagr,strategy_net_cagr,buy_hold_volatility,strategy_volatility,strategy_net_volatility,buy_hold_sharpe,strategy_sharpe,strategy_net_sharpe,buy_hold_max_drawdown,strategy_max_drawdown,strategy_net_max_drawdown,strategy_total_turnover,strategy_net_total_turnover,net_cagr_minus_buy_hold,net_sharpe_minus_buy_hold,net_drawdown_improvement,net_volatility_reduction,volatility_threshold,n_observations,average_regime_persistence,rank_sharpe,rank_drawdown,rank_volatility,rank_cagr,rank_turnover,combined_rank
SPY,defensive_overlay,3.463076817094116,1.2934770400338942,0.5794378997972076,0.14072387325258262,0.0757975679787315,0.04105124418963335,0.17697094771792896,0.12531427132182396,0.12540431765057625,0.7501027750297192,0.583032638028942,0.3208104401956526,-0.33717282419038563,-0.2963686991489267,-0.3008400810188393,746.0,746.0,-0.09967262906294927,-0.42929233483406665,0.03633274317154633,0.05156663006735271,0.12246938971238187,2863,0.46877261115761987,23.0,19.0,30.0,20.0,19.0,101.5
SPY,baseline,3.463076817094107,0.7249391800482126,0.08227660698738859,0.14072387325258262,0.04915758440453377,0.006983697296540692,0.1769708880051384,0.09617034960516278,0.09626769335704641,0.7501029820607307,0.4989847888043684,0.07229241695601313,-0.33717280807808137,-0.22070931292793194,-0.23818377766253573,932.25,932.25,-0.13374017595604193,-0.6778105651047175,0.09898903041554563,0.080703194648092,0.12246814745879858,2863,0.46877261115761987,38.0,7.0,14.0,31.0,33.0,106.5
GLD,defensive_overlay,2.1415618533757863,0.9956156840753785,0.36216809285064566,0.10600868734350155,0.0627047883283478,0.02757830708835951,0.16025229786013392,0.12883183446782398,0.1287977679485866,0.6241426276623652,0.47206767994421134,0.2112216399075264,-0.24464611578427153,-0.235081450692869,-0.2501341254051813,763.75,763.75,-0.07843038025514204,-0.41292098775483876,-0.005488009620909784,0.03145452991154732,0.1322156629029833,2863,0.46270239774496214,22.0,27.0,37.0,14.0,24.0,112.0
XLF,baseline,2.502330874090999,0.30389522530878277,-0.18056802191728383,0.11664230833452915,0.02363142792558426,-0.017375825942277268,0.21780875254043566,0.12330345505437461,0.12336730568779763,0.5129744886231954,0.18942314429814633,-0.1420843011657108,-0.42862521166304635,-0.28937571787995187,-0.4206571840449149,929.0,929.0,-0.13401813427680642,-0.6550587897889062,0.007968027618131424,0.09444144685263803,0.15695538956840033,2863,0.46704117776029025,35.0,24.0,8.0,32.0,31.0,114.5
TLT,defensive_overlay,-0.14445547952813254,-0.3237509953315335,-0.5381171172887607,-0.013638699124375542,-0.033846656547089515,-0.06573034628364471,0.14827746343252934,0.1176391232540552,0.11767704981983308,-0.0948592072061565,-0.2926978353853935,-0.5777691916130316,-0.48351119885895677,-0.48406243142768257,-0.5821193314176254,762.5,762.5,-0.05209164715926917,-0.48290998440687516,-0.09860813255866863,0.03060041361269626,0.12498877471853437,2863,0.4568785681510188,27.0,35.0,38.0,5.0,22.0,116.0
BTC-USD,crash_filter,275.9901647096712,7.728269598266403,3.908984693132166,0.4045312408113815,0.13981557312596093,0.10087434855666744,0.5510382153330841,0.44670829278171814,0.44680545570006447,0.6242780015731971,0.29295733585855505,0.21509300114125432,-0.8339900882218975,-0.8057716349008175,-0.8466529639367748,1151.0,1151.0,-0.30365689225471404,-0.40918500043194284,-0.012662875714877342,0.10423275963301959,0.4401436178177377,4172,0.4586318632407015,20.0,30.0,7.0,40.0,39.0,116.5
SPY,crash_filter,3.463076817094098,0.9877889233944634,0.3573346046969865,0.1407238732525824,0.062337273462219844,0.027256846453544537,0.1769710278918514,0.1270803071871679,0.1272078696340532,0.7501021127487625,0.475852294010752,0.21140196493563865,-0.3371727586013764,-0.2828682384757403,-0.29535040879733154,763.0,763.0,-0.11346702679903786,-0.5387001478131238,0.04182234980404487,0.0497631582577982,0.12246857227419017,2863,0.46877261115761987,31.0,18.0,31.0,27.0,23.0,118.5
IWM,crash_filter,1.9618922560060583,0.346939918347245,-0.07194539619016471,0.10029038639261056,0.026561975660968073,-0.006550406640289386,0.22564935739913147,0.17820627057729177,0.17826052188773422,0.42710899766798527,0.14710667180329484,-0.03686713488141707,-0.4113331100089882,-0.3604022505981388,-0.4188675147261087,745.0,745.0,-0.10684079303289995,-0.46397613254940234,-0.007534404717120524,0.04738883551139725,0.18748620486498788,2863,0.4649723747634111,25.0,29.0,32.0,24.0,18.0,119.0
EEM,defensive_overlay,1.3016971854591133,0.23461689985952927,-0.15230915614299345,0.07613640129951249,0.01872420577478362,-0.01443903150318937,0.20919049316255814,0.16230699573950683,0.16229990682634693,0.3582487733917308,0.11429615638558278,-0.08961366053815596,-0.3982232812828179,-0.44740681309021924,-0.5445676975008267,752.0,752.0,-0.09057543280270186,-0.4478624339298867,-0.14634441621800875,0.04689058633621121,0.17002148567824651,2863,0.46542820515800154,24.0,38.0,33.0,15.0,21.0,120.5
TLT,crash_filter,-0.1444550254601521,-0.323119426753136,-0.5391858338087184,-0.013638653046401439,-0.033767268658617566,-0.06592082249369147,0.14827745361075378,0.12139779391453914,0.12146547457564909,-0.0948591238145443,-0.2829586104124018,-0.5614276163150685,-0.4835110923228837,-0.5129780480481223,-0.6159474419817745,769.0,769.0,-0.05228216944729003,-0.46656849250052423,-0.13243634965889084,0.026811979035104697,0.12498925017606236,2863,0.4568785681510188,26.0,36.0,40.0,6.0,25.0,120.5
GLD,baseline,2.1415618533757863,0.6377359589440186,0.017974404832268975,0.10600868734350155,0.04437785014486528,0.0015692787050123336,0.16025229786013392,0.1037903404306134,0.10378103254195084,0.6241426276623652,0.41835636367705065,0.015109202861557534,-0.24464611578427153,-0.1795019069897974,-0.2445633875869604,951.0,951.0,-0.10443940863848922,-0.6090334248008077,8.272819731114378e-05,0.056471265318183084,0.1322156629029833,2863,0.46270239774496214,33.0,26.0,24.0,22.0,36.0,123.0
IWM,baseline,1.961892031540327,0.08582243789108635,-0.3199148668755736,0.10029037905309623,0.007273654189234868,-0.03336549492857577,0.22564925959768506,0.13710365409062641,0.13716884836153614,0.4271091231219836,0.05286021581542238,-0.24739453053864302,-0.41133288934622836,-0.2929119996815982,-0.41727540208878044,935.75,935.75,-0.133655873981672,-0.6745036536606266,-0.005942512742552086,0.08848041123614891,0.18748617790082814,2863,0.4649723747634111,37.0,28.0,13.0,30.0,34.0,125.0
TLT,baseline,-0.14445509032703163,-0.2999005474569193,-0.5660313050647351,-0.013638659628970373,-0.030894567070498535,-0.07084268975191721,0.14827752669723257,0.09298510591849225,0.09299176242345615,-0.09485916673313506,-0.33749348121423745,-0.7901476400258023,-0.4835115290068781,-0.40958088669395887,-0.5798544345329173,956.5,956.5,-0.057204030122946836,-0.6952884732926672,-0.09634290552603919,0.05528576427377642,0.12498859510159248,2863,0.4568785681510188,39.0,34.0,27.0,7.0,37.0,125.5
QQQ,baseline,6.877409471500701,0.7438186289817428,0.09494301731780341,0.19922113589277313,0.05016330561834148,0.008015532288536908,0.21974891567966925,0.1278663483615735,0.12797504442808766,0.8301980232984453,0.3827878238764231,0.062383870093914724,-0.3511872342837442,-0.2665496681062305,-0.3432152612346693,930.75,930.75,-0.19120560360423622,-0.7678141532045305,0.007971973049074932,0.0917738712515816,0.16755180557416338,2863,0.4678708622123815,40.0,23.0,11.0,37.0,32.0,127.0
XLF,crash_filter,2.502330002726167,0.41498193573587216,-0.0231119659039416,0.11664228388130238,0.031024599781384943,-0.002056065471494839,0.21780874329089328,0.1615274881597691,0.16164967547544815,0.5129746636452024,0.18915086971258707,-0.012732361322729487,-0.42862542371442025,-0.43539810214615193,-0.5620429364148883,741.0,741.0,-0.11869834935279722,-0.5257070249679319,-0.1334175127004681,0.056159067815445135,0.15695552134332896,2863,0.46704117776029025,30.0,37.0,25.0,28.0,16.0,128.0
GLD,crash_filter,2.1415618533757863,0.7498082795865331,0.17999031098229268,0.10600868734350155,0.05048030393618297,0.014674412627615263,0.16025229786013392,0.1325580980600455,0.1325574631714251,0.6241426276623652,0.3715162832000551,0.10989788842767965,-0.24464611578427153,-0.23186639043645751,-0.2927176969974309,788.0,788.0,-0.09133427471588629,-0.5142447392346855,-0.04807158121315935,0.027694834688708814,0.1322156629029833,2863,0.46270239774496214,28.0,32.0,39.0,16.0,28.0,129.0
QQQ,defensive_overlay,6.877408829951556,1.6160991513953622,0.7998158152153962,0.19922112729620745,0.08833285212951214,0.053088964733375876,0.219748876225791,0.16427631851166707,0.16437075036519946,0.8301981065426741,0.5152722722278025,0.3147014684448,-0.3511871333930505,-0.33308977125062744,-0.36704112775509956,748.0,748.0,-0.14613216256283157,-0.515496638097874,-0.01585399436204904,0.05537812586059154,0.16755102205292924,2863,0.4678708622123815,29.0,31.0,26.0,34.0,20.0,130.0
EEM,baseline,1.3016963340533887,0.05953088683250707,-0.3370453878441152,0.0761363662618626,0.005102816372267949,-0.035533644439467826,0.20919050291913258,0.12869397099836477,0.12873632520891426,0.3582487830887524,0.03954995783250415,-0.28104212205954876,-0.3982233184573317,-0.4643800016942182,-0.5762660863892752,937.75,937.75,-0.11167001070133042,-0.6392909051483011,-0.1780427679319435,0.08045417771021832,0.17002105914366636,2863,0.46542820515800154,34.0,39.0,15.0,26.0,35.0,131.5
EEM,crash_filter,1.3016964759543073,0.014228762397388017,-0.3129660129765067,0.07613637210147028,0.0012443564842714583,-0.032500175687632527,0.2091904204404524,0.16774725513607164,0.16777739308669523,0.35824879230935647,0.007413432269858874,-0.19692781643369797,-0.39822312501775015,-0.5492112990615287,-0.6380526651562455,779.0,779.0,-0.10863654778910281,-0.5551766087430544,-0.23982954013849533,0.04141302735375718,0.17002032034851047,2863,0.46542820515800154,32.0,40.0,35.0,25.0,27.0,145.5
QQQ,crash_filter,6.877407546853602,1.0566922898413997,0.39458796738826973,0.1992211101030783,0.06552839036243374,0.029707949939568268,0.2197489302230713,0.16787487218025604,0.16802535826482995,0.8301980670695794,0.37808408420574413,0.1742309529331994,-0.351187273158857,-0.32775745599396344,-0.4092720504289472,777.0,777.0,-0.16951316016351003,-0.6559671141363801,-0.058084777270090204,0.05172357195824134,0.16755153677620524,2863,0.4678708622123815,36.0,33.0,29.0,36.0,26.0,147.0
